# Edit column 1 to IN or OUT. Nothing here is applied automatically.
# 82 patches, 0 already in the include list, 22 in the exclude list.
decision	state	default	class	patch	reason
IN	UNREVIEWED	on	CLEAN	App refresh rate	
IN	UNREVIEWED	on	CLEAN	Change start page	
IN	UNREVIEWED	on	CLEAN	Copy video link	
IN	UNREVIEWED	on	CLEAN	Disable DRC audio	
IN	UNREVIEWED	on	CLEAN	Disable Shorts resuming on startup	
IN	UNREVIEWED	on	CLEAN	Disable double tap actions	
IN	UNREVIEWED	on	CLEAN	Disable fullscreen gestures	
IN	UNREVIEWED	on	CLEAN	Disable haptic feedback	
IN	UNREVIEWED	on	CLEAN	Disable layout updates	
IN	UNREVIEWED	on	CLEAN	Disable player popup panels	
IN	UNREVIEWED	on	CLEAN	Disable playlist autoplay	
IN	UNREVIEWED	on	CLEAN	Disable rolling number animations	
IN	UNREVIEWED	on	CLEAN	Disable scrolling speed limit	
IN	UNREVIEWED	on	CLEAN	Disable sign in to TV popup	
IN	UNREVIEWED	on	CLEAN	Double tap to seek	
IN	UNREVIEWED	on	CLEAN	Downloads	
IN	UNREVIEWED	on	CLEAN	Exit fullscreen mode	
IN	UNREVIEWED	on	CLEAN	Force original audio	
IN	UNREVIEWED	on	CLEAN	Fullscreen video scale	
IN	UNREVIEWED	on	CLEAN	Hide Shorts components	
IN	UNREVIEWED	on	CLEAN	Hide ads	
IN	UNREVIEWED	on	CLEAN	Hide autoplay preview	
IN	UNREVIEWED	on	CLEAN	Hide end screen cards	
IN	UNREVIEWED	on	CLEAN	Hide end screen suggested video	
IN	UNREVIEWED	on	CLEAN	Hide info cards	
IN	UNREVIEWED	on	CLEAN	Hide layout components	
IN	UNREVIEWED	on	CLEAN	Hide player flyout menu components	
IN	UNREVIEWED	on	CLEAN	Hide player overlay buttons	
IN	UNREVIEWED	on	CLEAN	Hide related video overlay	
IN	UNREVIEWED	on	CLEAN	Hide related videos	
IN	UNREVIEWED	on	CLEAN	Hide timestamp	
IN	UNREVIEWED	on	CLEAN	Hide video action buttons	
IN	UNREVIEWED	on	CLEAN	Loop video	
IN	UNREVIEWED	on	CLEAN	Media notification controls	
IN	UNREVIEWED	on	CLEAN	Miniplayer	
IN	UNREVIEWED	on	CLEAN	Mute button	
IN	UNREVIEWED	on	CLEAN	Navigation bar	
IN	UNREVIEWED	on	CLEAN	Open Shorts in regular player	
IN	UNREVIEWED	on	CLEAN	Open channel of live avatar	
IN	UNREVIEWED	on	CLEAN	Open links externally	
IN	UNREVIEWED	on	CLEAN	Open videos fullscreen	
IN	UNREVIEWED	on	CLEAN	Override YouTube Music buttons	
IN	UNREVIEWED	on	CLEAN	Play all	
IN	UNREVIEWED	on	CLEAN	Playback in feeds	
IN	UNREVIEWED	on	CLEAN	Playback speed	
IN	UNREVIEWED	on	CLEAN	Reload video	
IN	UNREVIEWED	on	CLEAN	Remember livestream playback position	
IN	UNREVIEWED	on	CLEAN	Remove background playback restrictions	
IN	UNREVIEWED	on	CLEAN	Remove viewer discretion dialog	
IN	UNREVIEWED	on	CLEAN	Return YouTube Dislike	
IN	UNREVIEWED	on	CLEAN	Sanitize sharing links	
IN	UNREVIEWED	on	CLEAN	Save to Watch later	
IN	UNREVIEWED	on	CLEAN	Seekbar	
IN	UNREVIEWED	on	CLEAN	Settings menu filter	
IN	UNREVIEWED	on	CLEAN	Shorts autoplay	
IN	UNREVIEWED	on	CLEAN	SponsorBlock	
IN	UNREVIEWED	on	CLEAN	Swipe controls	
IN	UNREVIEWED	on	CLEAN	Theme	
IN	UNREVIEWED	on	CLEAN	Video quality	
IN	UNREVIEWED	on	CLEAN	Wide search bar	
IN	UNREVIEWED	on	RISKY	GmsCore support	needs a microG-style companion app installed
IN	UNREVIEWED	on	RISKY	PoToken provider	token generation, breaks when upstream changes
OUT	UNREVIEWED	on	RISKY	Spoof app version	spoofs something a server can see
IN	UNREVIEWED	on	RISKY	Spoof video streams	spoofs something a server can see
	in exclude	on	BANNED	Enable debugging	matches BANNED rule 'enable debug'
	in exclude	on	CLEAN	Add to queue	
	in exclude	on	CLEAN	Alternative thumbnails	
	in exclude	on	CLEAN	Ambient mode	
	in exclude	on	CLEAN	Bypass image region restrictions	
	in exclude	on	CLEAN	Bypass link redirects	
	in exclude	on	CLEAN	Captions	
	in exclude	on	CLEAN	Change form factor	
	in exclude	on	CLEAN	Change header	
	in exclude	on	CLEAN	Check watch history domain name resolution	
	in exclude	on	CLEAN	Custom branding	
	in exclude	on	CLEAN	Custom player overlay opacity	
	in exclude	on	CLEAN	Disable QUIC protocol	
	in exclude	on	CLEAN	Disable video codecs	
	in exclude	off	CLEAN	Network proxy	
	in exclude	on	CLEAN	Open system share sheet	
	in exclude	on	CLEAN	Voice over translation	
	in exclude	on	RISKY	Spoof device dimensions	spoofs something a server can see
